Valores iniciais calculados:
Temperatura Inicial Média: 22.2 °C
Humidade Inicial Média: 57.0 %
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:12    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 63.0 %   | ON      | 4:13    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 63.0 %   | ON      | 4:14    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 63.0 %   | ON      | 4:15    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 63.0 %   | ON      | 4:16    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 62.0 %   | ON      | 4:17    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 62.0 %   | ON      | 4:18    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 61.0 %   | OFF     | 4:19    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 61.0 %   | OFF     | 4:20    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 60.0 %   | OFF     | 4:21    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 60.0 %   | OFF     | 4:22    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 60.0 %   | OFF     | 4:23    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 60.0 %   | OFF     | 4:24    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 59.0 %   | OFF     | 4:25    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 59.0 %   | OFF     | 4:26    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 59.0 %   | OFF     | 4:27    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 59.0 %   | OFF     | 4:28    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 58.0 %   | OFF     | 4:29    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 58.0 %   | OFF     | 4:30    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 58.0 %   | OFF     | 4:31    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 58.0 %   | OFF     | 4:32    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 57.0 %   | OFF     | 4:33    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 57.0 %   | OFF     | 4:34    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 57.0 %   | OFF     | 4:35    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 57.0 %   | OFF     | 4:36    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 57.0 %   | OFF     | 4:37    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 57.0 %   | OFF     | 4:38    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 56.0 %   | OFF     | 4:39    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 56.0 %   | OFF     | 4:40    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 56.0 %   | OFF     | 4:41    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 56.0 %   | OFF     | 4:42    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 55.0 %   | OFF     | 4:43    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 55.0 %   | OFF     | 4:44    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 55.0 %   | OFF     | 4:45    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 55.0 %   | OFF     | 4:46    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 55.0 %   | OFF     | 4:47    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 55.0 %   | OFF     | 4:48    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 4:49    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 4:50    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 61.0 %   | OFF     | 4:51    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 61.0 %   | OFF     | 4:52    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 66.0 %   | ON      | 4:53    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 66.0 %   | ON      | 4:54    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 4:55    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 4:56    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 71.0 %   | ON      | 4:57    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 71.0 %   | ON      | 4:58    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 71.0 %   | ON      | 4:59    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 71.0 %   | ON      | 5:00    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 71.0 %   | ON      | 5:01    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 71.0 %   | ON      | 5:02    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 70.0 %   | ON      | 5:03    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 70.0 %   | ON      | 5:04    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 70.0 %   | ON      | 5:05    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 70.0 %   | ON      | 5:06    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 70.0 %   | ON      | 5:07    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 70.0 %   | ON      | 5:08    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 5:09    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 5:10    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 5:11    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 5:12    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 5:13    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 5:14    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 5:15    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 67.0 %   | ON      | 5:16    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 67.0 %   | ON      | 5:17    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 5:18    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 5:19    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 65.0 %   | ON      | 5:20    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 65.0 %   | ON      | 5:21    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:22    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:23    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:24    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:25    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 5:26    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 5:27    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 62.0 %   | ON      | 5:28    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 62.0 %   | ON      | 5:29    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:30    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:31    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:32    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:33    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:34    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:35    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:36    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 5:37    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 5:38    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 5:39    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 5:40    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 5:41    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 62.0 %   | ON      | 5:42    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 62.0 %   | ON      | 5:43    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 61.0 %   | OFF     | 5:44    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 61.0 %   | OFF     | 5:45    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 61.0 %   | OFF     | 5:46    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 61.0 %   | OFF     | 5:47    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 60.0 %   | OFF     | 5:48    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 60.0 %   | OFF     | 5:49    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 59.0 %   | OFF     | 5:50    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 59.0 %   | OFF     | 5:51    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 59.0 %   | OFF     | 5:52    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 59.0 %   | OFF     | 5:53    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 5:54    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 5:55    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 5:56    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 5:57    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 5:58    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 5:59    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 57.0 %   | OFF     | 6:00    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 57.0 %   | OFF     | 6:01    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 57.0 %   | OFF     | 6:02    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 57.0 %   | OFF     | 6:03    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 57.0 %   | OFF     | 6:04    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 57.0 %   | OFF     | 6:05    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 57.0 %   | OFF     | 6:06    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 57.0 %   | OFF     | 6:07    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 57.0 %   | OFF     | 6:08    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 57.0 %   | OFF     | 6:09    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 24.2 °C     | OFF      | 56.0 %   | OFF     | 6:10    |
| 22.2 °C             | 57.0 %           | 24.2 °C     | OFF      | 56.0 %   | OFF     | 6:11    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 58.0 %   | OFF     | 6:12    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 58.0 %   | OFF     | 6:13    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 59.0 %   | OFF     | 6:14    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 59.0 %   | OFF     | 6:15    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 60.0 %   | OFF     | 6:16    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 60.0 %   | OFF     | 6:17    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 62.0 %   | ON      | 6:18    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 62.0 %   | ON      | 6:19    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 6:20    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 6:21    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 65.0 %   | ON      | 6:22    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 65.0 %   | ON      | 6:23    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 6:24    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 6:25    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 6:26    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 6:27    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 6:28    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 6:29    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 6:30    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 6:31    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 6:32    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 65.0 %   | ON      | 6:33    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 65.0 %   | ON      | 6:34    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 64.0 %   | ON      | 6:35    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 64.0 %   | ON      | 6:36    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 65.0 %   | ON      | 6:37    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 65.0 %   | ON      | 6:38    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 67.0 %   | ON      | 6:39    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 67.0 %   | ON      | 6:40    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 70.0 %   | ON      | 6:41    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 70.0 %   | ON      | 6:42    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 6:43    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 6:44    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 77.0 %   | ON      | 6:45    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 77.0 %   | ON      | 6:46    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 78.0 %   | ON      | 6:47    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 78.0 %   | ON      | 6:48    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 79.0 %   | ON      | 6:49    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 79.0 %   | ON      | 6:50    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 79.0 %   | ON      | 6:51    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 79.0 %   | ON      | 6:52    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 79.0 %   | ON      | 6:53    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 79.0 %   | ON      | 6:54    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 79.0 %   | ON      | 6:55    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 79.0 %   | ON      | 6:56    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 79.0 %   | ON      | 6:57    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 79.0 %   | ON      | 6:58    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 78.0 %   | ON      | 6:59    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 78.0 %   | ON      | 7:00    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 77.0 %   | ON      | 7:01    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 77.0 %   | ON      | 7:02    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 76.0 %   | ON      | 7:03    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 76.0 %   | ON      | 7:04    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 74.0 %   | ON      | 7:05    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 74.0 %   | ON      | 7:06    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 7:07    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 7:08    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 72.0 %   | ON      | 7:09    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 72.0 %   | ON      | 7:10    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 71.0 %   | ON      | 7:11    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 71.0 %   | ON      | 7:12    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 70.0 %   | ON      | 7:13    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 70.0 %   | ON      | 7:14    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 7:15    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 69.0 %   | ON      | 7:16    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 68.0 %   | ON      | 7:17    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 68.0 %   | ON      | 7:18    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 7:19    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 66.0 %   | ON      | 7:20    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 65.0 %   | ON      | 7:21    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 65.0 %   | ON      | 7:22    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 7:23    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 64.0 %   | ON      | 7:24    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 7:25    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 7:26    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 7:27    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 63.0 %   | ON      | 7:28    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 62.0 %   | ON      | 7:29    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 62.0 %   | ON      | 7:30    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 61.0 %   | OFF     | 7:31    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 61.0 %   | OFF     | 7:32    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 60.0 %   | OFF     | 7:33    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 60.0 %   | OFF     | 7:34    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 60.0 %   | OFF     | 7:35    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 60.0 %   | OFF     | 7:36    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 59.0 %   | OFF     | 7:37    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 59.0 %   | OFF     | 7:38    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 59.0 %   | OFF     | 7:39    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 59.0 %   | OFF     | 7:40    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 7:41    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 7:42    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 7:43    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 58.0 %   | OFF     | 7:44    |
| 22.2 °C             | 57.0 %           | 24.2 °C     | OFF      | 57.0 %   | OFF     | 7:45    |
| 22.2 °C             | 57.0 %           | 24.2 °C     | OFF      | 57.0 %   | OFF     | 7:46    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 57.0 %   | OFF     | 7:47    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 57.0 %   | OFF     | 7:48    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 57.0 %   | OFF     | 7:49    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 57.0 %   | OFF     | 7:50    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 57.0 %   | OFF     | 7:51    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 7:52    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 7:53    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 7:54    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 7:55    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 7:56    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 7:57    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 7:58    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 7:59    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 8:00    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 8:01    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 8:02    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 56.0 %   | OFF     | 8:03    |
| 22.2 °C             | 57.0 %           | 24.0 °C     | OFF      | 55.0 %   | OFF     | 8:04    |
| 22.2 °C             | 57.0 %           | 24.0 °C     | OFF      | 55.0 %   | OFF     | 8:05    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 55.0 %   | OFF     | 8:06    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 55.0 %   | OFF     | 8:07    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 55.0 %   | OFF     | 8:08    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 55.0 %   | OFF     | 8:09    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 55.0 %   | OFF     | 8:10    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 55.0 %   | OFF     | 8:11    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 55.0 %   | OFF     | 8:12    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 55.0 %   | OFF     | 8:13    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 57.0 %   | OFF     | 8:14    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 57.0 %   | OFF     | 8:15    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 59.0 %   | OFF     | 8:16    |
